ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2130248,M050RS83BRT1,118,AS87_015RB020,573,0,42630305,19178391,1,10,960,38.70000076,26.60000038,19.60000038,0.810000002,0.800000012,0.800000012,8.100000381,-0.61500001,996
2130257,M050RS83BRT1,119,AS87_015RB010,572,0,42630300,19178441,1,19,960,41.20000076,26,19.79999924,0.800000012,0.800000012,3.299999952,8.100000381,-0.722000003,1035
2130514,M050UB93BRT1,1161731,15 UB93 030SWB221,8820,0,21610194,17446824,1,59,750,29.89999962,26,23.39999962,1.49000001,1.5,10.10000038,10.10000038,-1.496000051,591
2132075,M050RS83BRT1,120,AS87_015RB010,572,0,52630391,19177302,1,141,960,45.59999847,24.20000076,18.60000038,0.790000021,0.800000012,7.400000095,7.800000191,-0.493000001,1073
2132077,M050RS83BRT1,121,SA91_010RB200,,0,22630022,,1,15,900,28.5,20.39999962,18.39999962,0.589999974,0.600000024,0,6.099999905,-0.017999999,544
2132079,M050RS83BRT1,122,AS87_015RB010,572,0,52630391,19177369,1,141,960,45.79999924,25.20000076,18.60000038,0.790000021,0.800000012,7.599999905,7.699999809,-0.493000001,1111
2132080,M050RS83BRT1,123,AS87_015RB010,572,0,52630343,19177369,1,140,940,45.90000153,23.39999962,19,0.800000012,0.800000012,8,8.100000381,-0.458000004,1020
2132081,M050RS83BRT1,124,AS87_015RB010,572,1,42630378,19178482,1,74,1250,27.89999962,24.39999962,17.20000076,0.589999974,0.600000024,5.400000095,6.5,-0.280999988,866
2132082,M050RS83BRT1,125,AS87_015RB020,573,1,42630305,19178565,1,10,960,41.5,27.60000038,20.79999924,0.800000012,0.800000012,3.5,8,-0.879999995,1111
