ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2130639,M050UB93BRT1,1161170,15 UB93 030SWB121,8819,1,22610110,17446774,1,50,750,29.70000076,27.79999924,24.20000076,1.50999999,1.5,9.5,9.800000191,-0.861999989,626
2131336,M050UB93BRT1,1161171,15 UB93 030SWB421,8821,1,22610220,17446774,1,65,750,29.70000076,24.20000076,21.39999962,1.50999999,1.5,8.800000191,9.100000381,-0.474999994,543
2131999,M050UB92BRT2,459674,15 UB92 130SWB321,8815,1,24610029,17446840,1,127,750,29.20000076,24.79999924,23.39999962,1.49000001,1.5,9.300000191,10.10000038,-0.933000028,555
2131786,M050UB92BRT2,459677,15 UB92 130SWB421,8816,1,24610887,17446840,1,385,750,30.70000076,26,22,1.49000001,1.5,10.39999962,9.699999809,-0.933000028,594
2131579,M050UB92BRT2,459688,15 UB92 130SWB221,8814,1,24620155,17446840,1,217,750,30,25.39999962,24,1.50999999,1.5,9.600000381,9.600000381,-0.703999996,580
2131679,M050UB92BRT2,459681,15 UB92 130SWB121,8813,1,24610863,17446840,1,117,750,29.20000076,26.39999962,23.79999924,1.50999999,1.5,9.199999809,10,-0.949999988,588
2130437,M050UB93BRT1,1161172,15 UB93 030SWB221,8820,1,22610156,17446774,1,53,750,30.20000076,24.39999962,23.60000038,1.49000001,1.5,9.5,9.300000191,-0.634000003,561
2131176,M050UB93BRT1,1161173,15 UB93 030SWB521,8822,1,22610061,17446774,1,60,750,30.20000076,26,24,1.50999999,1.5,9.199999809,9,-0.510999978,597
2130640,M050UB93BRT1,1161174,15 UB93 030SWB121,8819,1,22610802,17446774,1,190,750,30.5,24.39999962,22.79999924,1.49000001,1.5,9.800000191,9.300000191,-0.757000029,564
2131337,M050UB93BRT1,1161175,15 UB93 030SWB421,8821,1,22610217,17446774,1,49,750,30,24.79999924,24.60000038,1.49000001,1.5,9,9,-0.56400001,565
