ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2131552,M050UB92BRT2,459543,15 UB92 130SWB221,8814,1,22620019,17446774,1,16,750,30.20000076,24.60000038,22.79999924,1.50999999,1.5,9.199999809,9,-0.66900003,566
2131649,M050UB92BRT2,459540,15 UB92 130SWB121,8813,1,22610057,17446774,1,39,750,29.89999962,24.60000038,23.79999924,1.49000001,1.5,10.30000019,10.30000019,-1.003000021,564
2131553,M050UB92BRT2,459547,15 UB92 130SWB221,8814,1,22620024,17446774,1,17,750,30,26.79999924,23.60000038,1.50999999,1.5,9,9,-0.510999978,609
2131554,M050UB92BRT2,459552,15 UB92 130SWB221,8814,1,22620025,17446774,2,18,1000,44,25.60000038,19.79999924,0.790000021,0.800000012,8.600000381,8.5,-0.861999989,1144
2131650,M050UB92BRT2,459545,15 UB92 130SWB121,8813,1,22610022,17446774,1,14,750,30,26.60000038,23.79999924,1.49000001,1.5,9,9,-0.493000001,604
2131973,M050UB92BRT2,459541,15 UB92 130SWB321,8815,1,22610825,17446774,1,39,750,29.70000076,25.20000076,23.79999924,1.50999999,1.5,9.300000191,9.600000381,-0.722000003,574
2131757,M050UB92BRT2,459544,15 UB92 130SWB421,8816,1,22610154,17446774,1,12,720,30.20000076,25.20000076,22.79999924,1.49000001,1.5,10.19999981,10,-1.037999988,550
2131651,M050UB92BRT2,459550,15 UB92 130SWB121,8813,1,22610036,17446774,1,23,750,30.5,25,23,1.49000001,1.5,10.30000019,9.800000191,-0.949999988,577
